Toplam listede: 257
Zaten vardı: 25
Yeni: 232
Oluşturulan klasör: 232
Oluşturulan placeholder jpg: 928

=== YENİ EKLENENLER (name -> id | categories) ===
- Keyf-i Dem Restaurant Meyhane Kaş -> keyf-i-dem-restaurant-meyhane-kas | ['bar']
- Fıchı Restaurant -> fichi-restaurant | ['food']
- Meydan Restaurant & Cafe - Bistro -> meydan-restaurant-and-cafe-bistro | ['cafe']
- Luna Restaurant & Bar -> luna-restaurant-and-bar | ['bar']
- Yelken Restaurant & Meyhane -> yelken-restaurant-and-meyhane | ['bar']
- Manos Greek Tavern Kas -> manos-greek-tavern-kas | ['food']
- Sidera Restaurant -> sidera-restaurant | ['food']
- Tasra -> tasra | ['food']
- Kas Diva Residence Hotel Restaurant -> kas-diva-residence-hotel-restaurant | ['food']
- Kaya Koruğu -> kaya-korugu | ['food']
- Sushi Kashi -> sushi-kashi | ['food']
- Menta Coffee.co -> menta-coffee-co | ['cafe']
- VOLK by Hera Hotel -> volk-by-hera-hotel | ['food']
- Gaia Kaş -> gaia-kas | ['food']
- Müpptela Ocakbaşi Meyhane -> mupptela-ocakbasi-meyhane | ['bar']
- Cafe Corner Restaurant -> cafe-corner-restaurant | ['cafe']
- Ally's Restaurant -> allys-restaurant | ['food']
- Kaşık Mantı & Ev Yemekleri -> kasik-manti-and-ev-yemekleri | ['food']
- Cinarlar Garden Restaurant Grill & Seafood -> cinarlar-garden-restaurant-grill-and-seafood | ['food']
- Bunbun -> bunbun | ['food']
- Biugra Restoran & Meyhane -> biugra-restoran-and-meyhane | ['bar']
- Pizza Porto -> pizza-porto | ['food']
- Giant Stride Shop & Cafe & Bar -> giant-stride-shop-and-cafe-and-bar | ['bar', 'cafe']
- Vera Veranda Rooftop Restaurant -> vera-veranda-rooftop-restaurant | ['food']
- Nazende Restaurant -> nazende-restaurant | ['food']
- Salkım Ocakbaşı Meyhane Kaş -> salkim-ocakbasi-meyhane-kas | ['bar']
- Maya Steakhouse -> maya-steakhouse | ['food']
- Ruhibey Meyhanesi -> ruhibey-meyhanesi | ['bar']
- Maşuk Meyhane Kaş -> masuk-meyhane-kas | ['bar']
- Bella Vita -> bella-vita | ['food']
- Ehl-i Keyf Meyhanesi Kaş -> ehl-i-keyf-meyhanesi-kas | ['bar']
- Kaş Kuruköprü Çorbacısı -> kas-kurukopru-corbacisi | ['food']
- Doğal Anne Eli -> dogal-anne-eli | ['food']
- Kaş Gurme Falafel -> kas-gurme-falafel | ['food']
- Mumi Cafe & Beach -> mumi-cafe-and-beach | ['cafe', 'beach']
- Kervan Pide ve Kebap Salonu -> kervan-pide-ve-kebap-salonu | ['food']
- The Kitchen by Korsan -> the-kitchen-by-korsan | ['food']
- Bi Lokma Restaurant -> bi-lokma-restaurant | ['food']
- Pirzula Meyhane -> pirzula-meyhane | ['bar']
- Pell’s Gece / Gündüz / Lezzet -> pells-gece-gunduz-lezzet | ['food']
- L’apero -> lapero | ['food']
- Ata Cafe & Bar -> ata-cafe-and-bar | ['bar', 'cafe']
- Bahçe Restaurant -> bahce-restaurant | ['food']
- Passarella Restaurant -> passarella-restaurant | ['food']
- Leymona Beach & Restaurant & Bar -> leymona-beach-and-restaurant-and-bar | ['bar', 'beach']
- Helios Meyhane -> helios-meyhane | ['bar']
- Bekos Kitchen -> bekos-kitchen | ['food']
- Butka -> butka | ['food']
- Adana Kebap Restaurant -> adana-kebap-restaurant | ['food']
- SpaghettiCi -> spaghettici | ['food']
- Ege Restaurant Taner Usta -> ege-restaurant-taner-usta | ['food']
- Marina Restaurant -> marina-restaurant | ['food']
- Aperatif -> aperatif | ['food']
- Taş Bahçe -> tas-bahce | ['food']
- Koi Sushi Bar & Cocktail -> koi-sushi-bar-and-cocktail | ['bar']
- Şişçi Ahmet Kaş -> sisci-ahmet-kas | ['food']
- Noel Baba Cafe & Bistro -> noel-baba-cafe-and-bistro | ['cafe']
- Manzara Restaurant -> manzara-restaurant | ['food']
- Demeti Kaş -> demeti-kas | ['food']
- Tzatziki Meyhane -> tzatziki-meyhane | ['bar']
- Atom Cafe Büfe -> atom-cafe-bufe | ['cafe']
- Kaşım Restaurant -> kasim-restaurant | ['food']
- Üzüm Kızı Meyhane -> uzum-kizi-meyhane | ['bar']
- Dolphin Restaurant -> dolphin-restaurant | ['food']
- Derya Beach Restaurant -> derya-beach-restaurant | ['beach']
- Öz Nazilli Restaurant -> oz-nazilli-restaurant | ['food']
- Kaş Gülşen -> kas-gulsen | ['food']
- Naturel Restaurant -> naturel-restaurant | ['food']
- Hayta Meyhane Restaurant -> hayta-meyhane-restaurant | ['bar']
- Diva’s Restaurant & Bar -> divas-restaurant-and-bar | ['bar']
- Kaş Asma6 Beach Restaurant & Garden Cafe -> kas-asma6-beach-restaurant-and-garden-cafe | ['cafe', 'beach']
- Kaptan Pide Pizza Salonu -> kaptan-pide-pizza-salonu | ['food']
- Yeşil Restaurant -> yesil-restaurant | ['food']
- Bijout Boutique Cafe -> bijout-boutique-cafe | ['cafe']
- Fika Garden Kaş -> fika-garden-kas | ['food']
- Yalı Restaurant -> yali-restaurant | ['food']
- Vira Liman Cafe & Beach -> vira-liman-cafe-and-beach | ['cafe', 'beach']
- Arabın Yeri Kaş -> arabin-yeri-kas | ['food']
- Belmuar Restaurant -> belmuar-restaurant | ['food']
- Kaş Belediyesi Aile Çay Bahçesi -> kas-belediyesi-aile-cay-bahcesi | ['food']
- Kalimera -> kalimera | ['food']
- Maaide Restaurant -> maaide-restaurant | ['food']
- Boom Kitchen Kaş -> boom-kitchen-kas | ['food']
- Pisekar Vegan Food -> pisekar-vegan-food | ['food']
- Meyhane Myra -> meyhane-myra | ['bar']
- Coşdum Pide ve Kebap Salonu -> cosdum-pide-ve-kebap-salonu | ['food']
- Lukka Dining -> lukka-dining | ['food']
- La Moda Beach Hotel -> la-moda-beach-hotel | ['beach']
- Refresh Vegan Kitchen -> refresh-vegan-kitchen | ['food']
- Tellina Restaurant -> tellina-restaurant | ['food']
- Nereid Gurme -> nereid-gurme | ['food']
- Yakamoz Beach Restaurant -> yakamoz-beach-restaurant | ['beach']
- Rolling Rolls -> rolling-rolls | ['food']
- 2000 Restaurant -> 2000-restaurant | ['food']
- Burgermeister Kaş -> burgermeister-kas | ['food']
- Hills Cafe & Bistro -> hills-cafe-and-bistro | ['cafe']
- Kaş Gurme Ev Yemekleri -> kas-gurme-ev-yemekleri | ['food']
- Pi’casa Pizza -> picasa-pizza | ['food']
- Red Box Meze & Cafe -> red-box-meze-and-cafe | ['cafe']
- No 37 Teras -> no-37-teras | ['food']
- Likya Gözleme Evi -> likya-gozleme-evi | ['food']
- Asar Restaurant Kaş -> asar-restaurant-kas | ['food']
- Dürüm Evi Mehmet Usta -> durum-evi-mehmet-usta | ['food']
- Sul-Kaş Restaurant -> sul-kas-restaurant | ['food']
- Kalkan Pasta House -> kalkan-pasta-house | ['food']
- Asmalı Bahçe -> asmali-bahce | ['food']
- Barbarossa Restaurant -> barbarossa-restaurant | ['food']
- Ustalar Pide & Kebap -> ustalar-pide-and-kebap | ['food']
- Akropol -> akropol | ['food']
- Dost Cafe -> dost-cafe | ['cafe']
- Oburus Notos Gastropub -> oburus-notos-gastropub | ['bar']
- Kuşhane Tencere Yemekleri -> kushane-tencere-yemekleri | ['food']
- Food Mest -> food-mest | ['food']
- Dondurma Dükkanı -> dondurma-dukkani | ['food']
- Deniz Restaurant -> deniz-restaurant | ['food']
- Pişi Kahvaltı Kaş -> pisi-kahvalti-kas | ['food']
- Myra Çikolata Evim Kaş -> myra-cikolata-evim-kas | ['food']
- The Kaş Lounge -> the-kas-lounge | ['food']
- Papyon Fast Food -> papyon-fast-food | ['food']
- Noel Baba Cafe Pastanesi -> noel-baba-cafe-pastanesi | ['cafe']
- Za Likya Fast Food -> za-likya-fast-food | ['food']
- Quanta Rock -> quanta-rock | ['food']
- Midyeci Aziz -> midyeci-aziz | ['food']
- AYA Mutfak -> aya-mutfak | ['food']
- Trinity Wine House -> trinity-wine-house | ['food']
- Ali’s 35 Kumru -> alis-35-kumru | ['food']
- Oh Be Kahvaltı & Mutfak -> oh-be-kahvalti-and-mutfak | ['food']
- Mermaid Beach Restaurant -> mermaid-beach-restaurant | ['beach']
- Napitaly -> napitaly | ['food']
- Bozoğlu Et Balık Restaurant -> bozoglu-et-balik-restaurant | ['food']
- Feride Et Lokantası -> feride-et-lokantasi | ['food']
- Kaş Komagene -> kas-komagene | ['food']
- Hatay Ocakbaşı -> hatay-ocakbasi | ['bar']
- Ziizi Pizza Shop -> ziizi-pizza-shop | ['food']
- Küçük Ev Restaurant -> kucuk-ev-restaurant | ['food']
- Güney Antakya Sofrası -> guney-antakya-sofrasi | ['food']
- Talaylar Restaurant -> talaylar-restaurant | ['food']
